,g,pattern,membership
675,TPGS1,8,0.7255780332182576
676,TPTE,0,0.7596349763329725
677,TRAPPC2L,11,0.9476390278045129
678,TRMT1,0,0.8431383052534479
680,TTF1,14,0.7039884227709969
681,TUT7,0,0.9892678731887505
682,UBALD2,11,0.9946966581509101
683,UBAP2,13,0.8757426106610943
684,UPF2,14,0.5246692785481417
685,UPF3B,5,0.9971647331165718
687,VPS25,7,0.9742903332418594
688,WAPL,6,0.9517251438032363
689,WASHC5,7,0.9249312747204558
691,XPNPEP3,10,0.573719025355113
692,YAF2,8,0.9509930507257731
693,YIPF6,5,0.9982833988167228
694,YLPM1,11,0.382379561919164
695,ZBED5,5,0.6093921990600851
696,ZBTB14,2,0.9527249028195832
697,ZBTB22,8,0.7048494235313684
698,ZC3H18,5,0.9965616535614974
699,ZC3H8,11,0.49337351799607104
700,ZFAND2A,8,0.991083128566189
701,ZNF134,8,0.9612540861445505
703,ZNF250,11,0.9396576883303881
704,ZNF267,5,0.4834852968560672
706,ZNF414,9,0.4976580689491657
707,ZNF549,13,0.54685032484012
708,ZNF713,11,0.9776440860462526
709,ZNF717,2,0.7584995685630934
710,ZNF76,0,0.637511217942762
711,"ZNF773,ZNF419",2,0.9728442337963144
712,ZNF790,0,0.9759988300356593
713,ZNF92,0,0.7594094079996198
714,ZSWIM1,8,0.9642989420813121
715,"AARS,AARS1",3,0.7984845882696169
716,AARS2,0,0.6242400359917863
717,ABCB8,0,0.9781082658141135
718,ABHD5,8,0.6180890506002673
719,ACKR1,12,0.9125959695152093
720,ACOT1,8,0.7728638684111034
721,ACTN4,14,0.986561645836997
722,ACTR8,11,0.9859494862230244
723,ADAM12,0,0.755913856924364
724,ADIPOR1,0,0.9985189123488973
725,AGA,0,0.8088066389891377
726,AKR1B1,2,0.9992901687196143
727,ALDH2,2,0.9927151561934414
728,ALDOB,7,0.7328049632447732
729,"AMY1C,AMY1A,AMY2A,AMY1B",0,0.9829571967853881
730,ANKFY1,14,0.8233982881608741
731,ANKRA2,12,0.7623840347104791
732,ANKRD9,2,0.3382750746030694
733,ANKZF1,12,0.6237329160363618
734,ANO6,0,0.8033284487741772
735,"AP4B1-AS1,AP4B1",12,0.9929085286066899
736,AP5M1,11,0.7438949139391605
737,APAF1,0,0.8401916675813504
738,ARFRP1,13,0.46908204327660874
739,ASPHD1,8,0.8566972816881215
740,ASXL1,13,0.9520523167897691
741,ATG14,7,0.9989343760780577
742,ATG4C,8,0.9694590220597951
743,ATPAF1,14,0.9848365792313953
744,ATXN7,1,0.48699472880947753
745,B3GALT6,7,0.9629068209169811
746,BAG5,1,0.5576537116317696
747,BAK1,14,0.45758415017316767
748,BAZ1B,2,0.998439142995115
749,BBS1,13,0.9848055824472538
750,BDH1,8,0.4147154714095173
751,BEGAIN,14,0.9898316873534672
752,BICDL2,0,0.9634722650324139
753,BRCC3,7,0.7627846741680454
754,BRD3OS,0,0.973918180195324
755,"BSCL2,HNRNPUL2-BSCL2",11,0.9979825894708025
756,BTAF1,13,0.9999767009555481
758,C16orf92,0,0.9857376889090811
759,C19orf71,0,0.9959949035381506
760,C1orf50,12,0.7464801510027173
761,C2CD3,7,0.801834433610835
762,"C6orf47,BAG6",7,0.5219082534990679
763,C6orf89,7,0.6214037594892807
764,C9orf72,0,0.9977096748613004
765,CAPN10,7,0.6725283066325429
766,CAPN7,0,0.7118922699385409
767,"CBY2,SPERT",0,0.9982889734121009
768,CCDC106,8,0.8577073069465161
769,CCDC142,10,0.8204519820481401
770,CCDC152,14,0.7141721610425604
771,CCDC74B,14,0.9768661018659819
772,"CCDC85C,CCNK",5,0.9995825373070752
773,CCDC93,2,0.8641300386627505
774,CCL5,8,0.9143845382156874
775,CCNDBP1,8,0.5743933892294321
776,CDC25A,10,0.8871503425768678
777,CDC40,7,0.8077043909740115
778,CDC73,13,0.800591934640672
779,CEP164,5,0.5762224511035451
