"","x"
"825","APOC2,APOC4-APOC2"
"826","APOC3"
"827","APOC4-APOC2,APOC4"
"828","APOD"
"829","APOE"
"830","APOF"
"831","APOH"
"832","APOL1"
"833","APOL2"
"834","APOL3"
"835","APOL5"
"836","APOL6"
"837","APOLD1"
"838","APOM"
"839","APOO"
"840","APOOL"
"841","APP"
"842","APPBP2"
"843","APPL1"
"844","APPL2"
"845","APRT"
"846","APTX"
"847","AQP1"
"848","AQP10"
"849","AQP11"
"850","AQP12A,AQP12B"
"851","AQP2"
"852","AQP3"
"853","AQP4"
"854","AQP5"
"855","AQP6"
"856","AQP7"
"857","AQP8"
"858","AQP9"
"859","AQR"
"860","AR"
"861","ARAF"
"862","ARAP1"
"863","ARAP2"
"864","ARAP3"
"865","ARC"
"866","ARCN1"
"867","AREG"
"868","AREL1"
"869","ARF1"
"870","ARF3"
"871","ARF4"
"872","ARF5"
"873","ARF6"
"874","ARFGAP1"
"875","ARFGAP2"
"876","ARFGAP3"
"877","ARFGEF1"
"878","ARFGEF2"
"879","ARFGEF3"
"880","ARFIP1"
"881","ARFIP2"
"882","ARFRP1"
"883","ARG1"
"884","ARGFX"
"885","ARGLU1"
"886","ARHGAP1"
"887","ARHGAP10"
"888","ARHGAP11A-SCG5,ARHGAP11A,ARHGAP11B"
"889","ARHGAP11A-SCG5,SCG5"
"890","ARHGAP12"
"891","ARHGAP15"
"892","ARHGAP17"
"893","ARHGAP18"
"894","ARHGAP19"
"895","ARHGAP20"
"896","ARHGAP21"
"897","ARHGAP22"
"898","ARHGAP23"
"899","ARHGAP24"
"900","ARHGAP25"
"901","ARHGAP26"
"902","ARHGAP27"
"903","ARHGAP28"
"904","ARHGAP29"
"905","ARHGAP30"
"906","ARHGAP31"
"907","ARHGAP32"
"908","ARHGAP33"
"909","ARHGAP35"
"910","ARHGAP36"
"911","ARHGAP39"
"912","ARHGAP4"
"913","ARHGAP40"
"914","ARHGAP42"
"915","ARHGAP44"
"916","ARHGAP45"
"917","ARHGAP5"
"918","ARHGAP6"
"919","ARHGAP8,PRR5-ARHGAP8"
"920","ARHGAP9,GLI1"
"921","ARHGDIA"
"922","ARHGDIB"
"923","ARHGDIG"
"924","ARHGEF1"
"925","ARHGEF10"
"926","ARHGEF10L"
"927","ARHGEF11"
"928","ARHGEF12"
"929","ARHGEF15"
"930","ARHGEF16"
"931","ARHGEF17"
"932","ARHGEF18"
"933","ARHGEF19"
"934","ARHGEF2"
"935","ARHGEF25"
"936","ARHGEF26"
"937","ARHGEF28"
"938","ARHGEF3"
"939","ARHGEF33"
"940","ARHGEF35"
"941","ARHGEF37"
"942","ARHGEF38"
"943","ARHGEF39"
"944","ARHGEF4,FAM168B"
"945","ARHGEF40"
"946","ARHGEF5"
"947","ARHGEF6"
"948","ARHGEF7"
"949","ARHGEF9"
"950","ARID1A"
"951","ARID1B"
"952","ARID2"
"953","ARID3A"
"954","ARID3B"
"955","ARID3C"
"956","ARID4A"
"957","ARID4B"
"958","ARID5A"
"959","ARID5B"
"960","ARIH1"
"961","ARIH2"
"962","ARIH2OS"
"963","ARL1"
"964","ARL10"
"965","ARL11"
"966","ARL13A"
"967","ARL13B"
"968","ARL14"
"969","ARL14EP"
"970","ARL14EPL"
"971","ARL15"
"972","ARL16"
"973","ARL17B,ARL17A,LOC107984156,LOC100996709"
"974","ARL2"
"975","ARL2-SNX15,SNX15"
"976","ARL2BP"
"977","ARL3"
"978","ARL4C"
"979","ARL4D"
"980","ARL5A"
"981","ARL5B"
"982","ARL5C"
"983","ARL6"
"984","ARL6IP1"
"985","ARL6IP4"
"986","ARL6IP5"
"987","ARL6IP6"
"988","ARL8A"
"989","ARL8B"
"990","ARL9"
"991","ARMC1"
"992","ARMC12"
"993","ARMC2"
"994","ARMC3"
"995","ARMC4"
"996","ARMC5"
"997","ARMC6"
"998","ARMC7"
"999","ARMC8"
"1000","ARMC9"
"1001","ARMCX1"
"1002","ARMCX2"
"1003","ARMCX3"
"1004","ARMCX4"
"1005","ARMCX5"
"1006","ARMCX6"
"1007","ARMH1,LOC105378690"
"1008","ARMH2"
"1009","ARMH3"
"1010","ARMH4"
"1011","ARMS2"
"1012","ARMT1"
"1013","ARNT"
"1014","ARNT2"
"1015","ARNTL"
"1016","ARNTL2"
"1017","ARPC1A"
"1018","ARPC1B"
"1019","ARPC2"
"1020","ARPC3"
"1021","ARPC4"
"1022","ARPC5"
"1023","ARPC5L"
"1024","ARPIN"
"1025","ARPP19"
"1026","ARPP21"
"1027","ARR3"
"1028","ARRB1"
"1029","ARRB2"
"1030","ARRDC1"
"1031","ARRDC2"
"1032","ARRDC3"
"1033","ARRDC4"
"1034","ARRDC5"
"1035","ARSA"
"1036","ARSB"
"1037","ARSD"
"1038","ARSF"
"1039","ARSG"
"1040","ARSH"
"1041","ARSI"
"1042","ARSJ"
"1043","ARSK"
"1044","ARSL,ARSE"
"1045","ART1"
"1046","ART3"
"1047","ART4"
"1048","ART5"
"1049","ARTN"
"1050","ARV1"
"1051","ARVCF"
"1052","ARX"
"1053","ASAH1"
"1054","ASAH2B,ASAH2"
"1055","ASAP1"
"1056","ASAP2"
"1057","ASAP3"
"1058","ASB1"
"1059","ASB10"
"1060","ASB11"
"1061","ASB12"
"1062","ASB13"
"1063","ASB14"
"1064","ASB15"
"1065","ASB16"
"1066","ASB17"
"1067","ASB18"
"1068","ASB2"
"1069","ASB4"
"1070","ASB5"
"1071","ASB6"
"1072","ASB7"
"1073","ASB8"
"1074","ASB9"
"1075","ASCC1"
"1076","ASCC2"
"1077","ASCC3"
"1078","ASCL1"
"1079","ASCL2"
"1080","ASCL3"
"1081","ASCL4"
"1082","ASCL5"
"1083","ASF1A"
"1084","ASF1B"
"1085","ASGR1"
"1086","ASGR2"
"1087","ASH1L"
"1088","ASH2L"
"1089","ASIC1"
"1090","ASIC2"
"1091","ASIC3"
"1092","ASIC4"
"1093","ASIC5"
"1094","ASIP"
"1095","ASL"
"1096","ASMT"
"1097","ASMTL"
"1098","ASNS"
"1099","ASNSD1"
"1100","ASPA"
"1101","ASPDH"
"1102","ASPG"
"1103","ASPH"
"1104","ASPHD1"
"1105","ASPM"
"1106","ASPN"
"1107","ASPRV1"
"1108","ASPSCR1"
"1109","ASRGL1"
"1110","ASS1"
"1111","ASTE1"
"1112","ASTL"
"1113","ASTN1"
"1114","ASTN2"
"1115","ASXL1"
"1116","ASXL2"
"1117","ASXL3"
"1118","ASZ1"
"1119","ATAD1"
"1120","ATAD2"
"1121","ATAD2B"
"1122","ATAD3B,ATAD3A"
"1123","ATAD3C"
"1124","ATAD5"
"1125","ATAT1"
"1126","ATCAY"
"1127","ATE1"
"1128","ATF1"
"1129","ATF2"
"1130","ATF3"
"1131","ATF4"
"1132","ATF5"
"1133","ATF6"
"1134","ATF6B"
"1135","ATF7,ATF7-NPFF"
"1136","ATF7IP"
"1137","ATF7IP2"
"1138","ATG10"
"1139","ATG101"
"1140","ATG12"
"1141","ATG13"
"1142","ATG14"
"1143","ATG16L1"
"1144","ATG16L2"
"1145","ATG2A"
"1146","ATG2B"
"1147","ATG3"
"1148","ATG4A"
"1149","ATG4B"
"1150","ATG4C"
"1151","ATG4D"
"1152","ATG5"
"1153","ATG7"
"1154","ATG9A"
"1155","ATG9B"
"1156","ATIC"
"1157","ATL1"
"1158","ATL2"
"1159","ATL3"
"1160","ATM"
"1161","ATMIN"
"1162","ATN1"
"1163","ATOH1"
"1164","ATOH7"
"1165","ATOH8"
"1166","ATOX1"
"1167","ATP10A"
"1168","ATP10B"
"1169","ATP10D"
"1170","ATP11A"
"1171","ATP11B"
"1172","ATP11C"
"1173","ATP12A"
"1174","ATP13A1"
"1175","ATP13A2"
"1176","ATP13A3"
"1177","ATP13A4"
"1178","ATP13A5"
"1179","ATP1A1"
"1180","ATP1A2"
"1181","ATP1A3"
"1182","ATP1A4"
"1183","ATP1B1"
"1184","ATP1B2"
"1185","ATP1B3"
"1186","ATP1B4"
"1187","ATP23"
"1188","ATP2A1"
"1189","ATP2A2"
"1190","ATP2A3"
"1191","ATP2B1"
"1192","ATP2B2"
"1193","ATP2B3"
"1194","ATP2B4"
"1195","ATP2C1"
"1196","ATP2C2"
"1197","ATP4A"
"1198","ATP4B"
"1199","ATP5F1A"
"1200","ATP5F1B"
"1201","ATP5F1C"
"1202","ATP5F1D"
"1203","ATP5IF1"
"1204","ATP5MC1"
"1205","ATP5MC2"
"1206","ATP5MC3"
"1207","ATP5MD"
"1208","ATP5ME"
"1209","ATP5MF"
"1210","ATP5MG"
"1211","ATP5MGL"
"1212","ATP5MPL"
"1213","ATP5PB"
"1214","ATP5PD"
